jogador,nacao,posicao,idade,minPor90,desarmes
Heitor, BRA,ZG,21,3.5,9
Gabriel Neves, URU,LT,24,2.8,7
Henrique Lordelo, BRA,LT,22,1.0,2
Breno, BRA,LT,26,2.2,3
Vitor Ricardo, BRA,LT,22,1.3,2
Matheus França, BRA,LT,18,0.8,1
John Kennedy, BRA,AT,20,1.3,0
Rwan, BRA,"LT,AT",21,4.1,3
Johnny Cardoso, USA,LT,20,3.4,2
Andrés Colorado, COL,LT,23,2.0,6
Renato Junior, BRA,AT,20,2.1,1
Benjamín Kuscevic, CHI,ZG,26,1.1,0
Renato Kayser, BRA,"AT,LT",26,1.8,0
Marcos Paulo, BRA,ZG,19,0.3,2
Alexandre Jesus, BRA,AT,20,0.6,0
César Reis, BRA,G,27,17.0,0
Carlos Sánchez, URU,LT,37,1.6,1
Kaique Rocha, BRA,ZG,21,3.2,1
Nikão, BRA,"LT,AT",29,2.2,0
Luan Dias, BRA,AT,24,1.4,1
Eduard Atuesta, COL,LT,25,2.0,2
Valentín Depietri, ARG,LT,21,1.4,0
David Duarte, BRA,ZG,27,0.4,1
Jadson, BRA,LT,28,15.4,27
Bruno Oliveira, BRA,LT,24,3.0,3
Liziero, BRA,"LT,ZG",24,2.7,5
Talles Costa, BRA,LT,19,2.1,4
Matheus Santos, BRA,LT,23,0.1,0
García, BRA,ZG,20,1.0,0
Igor Torres, BRA,AT,22,0.1,0
Rafael Forster, BRA,ZG,31,15.1,17
Willian Maranhão, BRA,LT,26,1.8,3
Thauan Lara, BRA,"LT,ZG",18,1.8,2
Anderson Lima, BRA,LT,22,1.8,4
Pedro Oliveira, BRA,LT,18,1.5,4
Fabinho, BRA,LT,20,0.8,3
Rodrigo Alves Soares, BRA,ZG,29,13.2,7
Luis Felipe, BRA,ZG,28,1.0,0
Caio Vidal, BRA,LT,21,1.7,2
Luan, BRA,LT,23,1.0,0
Luan, BRA,"AT,LT",31,0.5,1
Kaiky Naves, BRA,LT,20,0.4,0
Chico, BRA,LT,31,11.2,19
John, BRA,G,26,1.0,0
Keiller, BRA,G,25,1.0,0
Emiliano Rigoni, ARG,LT,29,2.7,4
Luis Silva, BRA,AT,21,0.4,1
Jailson Siqueira, BRA,LT,26,0.2,0
Yuri Oliveira Lima, BRA,LT,27,10.9,13
Kaiky, BRA,ZG,18,1.0,0
Matheus Cadorini, BRA,AT,19,1.0,0
Luizão, BRA,ZG,20,1.6,1
Pedro Bahia, BRA,LT,20,0.3,0
Giovani, BRA,AT,18,0.2,0
Isidro Pitta, PAR,AT,22,10.0,3
Lucas Barbosa, BRA,LT,21,1.5,2
Andrés D'Alessandro, ARG,AT,41,0.8,0
Patryck, BRA,ZG,19,0.3,1
Vitor Hugo, BRA,AT,18,0.0,0
Gabriel Vieira, BRA,AT,20,0.1,0
William Matheus, BRA,ZG,32,8.8,4
Gabriel Pirani, BRA,LT,20,0.5,0
Gabriel Boschilia, BRA,LT,26,0.6,1
Thiago, BRA,G,23,0.7,0
Vanderlan, BRA,ZG,19,0.1,0
Vitor Mendes, BRA,ZG,23,7.9,6
Marcos Guilherme, BRA,"AT,LT",26,0.3,1
Estevão, BRA,AT,20,0.4,0
Gabriel, BRA,LT,23,0.5,0
Pedro Bicalho, BRA,LT,21,0.0,1
Ricardo Bueno, BRA,AT,34,7.8,5
Vinicius, BRA,LT,23,0.0,0
Lucas Ramos, BRA,LT,21,0.0,0
Marquinhos, BRA,AT,19,0.3,1
Jean, BRA,LT,27,7.7,14
Jonas, BRA,LT,23,0.3,0
Capixaba, BRA,"LT,AT",25,6.8,9
João Moreira, POR,ZG,18,0.1,1
Óscar Ruiz, PAR,"AT,LT",31,6.3,5
Rodrigo, BRA,LT,18,0.0,0
Thalisson Kelven, BRA,ZG,24,6.7,7
Paulo Henrique, BRA,"LT,ZG",25,5.9,10
Moraes, BRA,ZG,24,5.0,5
Paulo Miranda, BRA,ZG,33,4.7,4
Paulinho Moccelin, BRA,LT,28,4.3,6
Busanello, BRA,ZG,23,3.2,4
Marlon, BRA,"LT,AT",32,1.7,1
Vitor Gabriel, BRA,AT,22,4.3,5
Guilherme Parede, BRA,"LT,AT",26,3.1,1
Edinho, BRA,LT,27,2.9,0
Romulo, BRA,ZG,22,1.9,1
Darlan Mendes, BRA,LT,24,1.3,1
Bruninho, BRA,AT,22,1.3,0
Elton, BRA,LT,32,0.5,0
Gabriel Neris, BRA,LT,20,0.1,0
